Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
569470, Havlíčkův Brod, Obec: Skuhrov,149,"67,42",147,19,0,0,6,0,8,3,1,1,0,0,0,13,0,7,60,2,19,0,1,0,0,7,0
548553, Havlíčkův Brod, Obec: Slavětín,60,"84,51",58,5,0,0,5,0,3,12,0,2,1,0,0,5,0,3,12,0,6,0,0,0,1,3,0
569488, Havlíčkův Brod, Obec: Slavíkov,172,117,117,2,1,0,13,0,5,18,0,3,2,0,0,8,0,2,36,1,4,1,2,1,0,15,3
569488, Havlíčkův Brod, Obec: Slavíkov,82,67,67,4,0,0,9,0,8,1,0,0,0,0,0,5,0,2,14,0,14,0,0,0,0,10,0
548341, Havlíčkův Brod, Obec: Slavníč,32,"68,09",32,5,0,0,3,0,1,2,0,0,0,0,0,4,0,0,6,0,1,0,0,0,0,10,0
548499, Havlíčkův Brod, Obec: Sloupno,25,"75,76",25,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,3,0
573604, Havlíčkův Brod, Obec: Služátky,90,"69,23",90,11,0,0,6,0,0,14,0,0,0,0,0,16,0,1,22,1,11,0,0,0,0,8,0
569518, Havlíčkův Brod, Obec: Sobíňov,392,"69,50",390,36,0,0,36,2,28,56,10,4,3,0,0,33,0,17,112,0,26,0,0,1,1,25,0
569534, Havlíčkův Brod, Obec: Stříbrné Hory,120,"62,18",120,14,0,0,11,0,5,14,2,1,0,0,0,10,0,6,34,1,10,0,1,0,0,11,0
569569, Havlíčkův Brod, Obec: Světlá nad Sázavou,903,569,569,32,0,0,50,0,11,66,5,9,9,0,0,56,0,15,231,0,23,0,3,1,1,56,0
569569, Havlíčkův Brod, Obec: Světlá nad Sázavou,1 086,589,589,56,0,1,49,0,28,53,6,4,2,0,0,73,1,26,185,2,31,1,5,1,0,63,0
569569, Havlíčkův Brod, Obec: Světlá nad Sázavou,774,460,460,38,0,2,29,1,17,61,7,4,5,0,1,53,0,12,142,2,34,0,6,3,1,40,0
569569, Havlíčkův Brod, Obec: Světlá nad Sázavou,1 179,681,681,65,0,1,60,0,40,60,5,7,10,1,1,78,0,21,218,0,21,0,3,0,1,78,3
