Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
540650, Šumperk, Obec: Písařov,485,290,290,19,1,0,21,1,10,49,1,4,1,0,0,14,0,0,73,0,0,47,1,0,0,0,43,2
540650, Šumperk, Obec: Písařov,87,52,52,1,0,0,2,0,2,7,2,0,1,0,0,0,0,0,21,1,0,9,0,0,0,0,4,1
540731, Šumperk, Obec: Police,98,"55,68",97,2,0,0,1,0,3,11,1,1,0,0,0,9,0,3,46,0,0,7,0,0,2,0,11,0
540773, Šumperk, Obec: Postřelmov,1 215,834,832,58,0,0,35,1,69,76,7,4,5,3,1,70,0,19,239,1,1,92,0,1,0,1,129,12
540773, Šumperk, Obec: Postřelmov,1 292,794,793,36,1,0,75,2,65,72,11,5,7,0,0,74,1,10,225,0,0,90,0,4,1,1,99,11
553352, Šumperk, Obec: Postřelmůvek,185,"68,01",183,6,0,0,12,0,15,13,2,1,1,0,0,11,0,3,84,1,0,20,0,0,0,0,14,0
540854, Šumperk, Obec: Rájec,295,"74,49",295,18,0,0,20,0,10,17,2,0,1,0,0,13,0,2,97,0,0,73,0,1,1,2,38,0
540862, Šumperk, Obec: Rapotín,874,540,540,34,0,0,42,0,66,58,1,1,1,2,0,22,1,8,201,0,0,9,0,3,2,2,85,1
540862, Šumperk, Obec: Rapotín,916,523,522,42,4,0,29,1,47,37,5,7,11,2,1,29,0,21,200,1,3,34,0,0,0,0,46,2
540862, Šumperk, Obec: Rapotín,789,506,506,35,1,1,28,1,60,22,7,2,3,0,0,51,0,15,188,0,0,25,0,1,0,1,61,0
553395, Šumperk, Obec: Rejchartice,100,"65,36",100,1,0,0,5,0,7,7,2,2,1,0,0,6,0,4,34,0,0,5,0,0,0,0,26,0
540871, Šumperk, Obec: Rohle,369,184,184,7,0,1,13,0,16,13,2,1,2,1,0,16,0,6,60,0,0,19,0,0,0,0,25,0
540871, Šumperk, Obec: Rohle,112,62,62,5,0,0,4,0,8,10,0,0,0,0,0,1,0,0,19,1,0,2,0,0,1,0,11,0
540871, Šumperk, Obec: Rohle,71,44,44,7,0,0,2,0,2,4,0,0,0,0,0,2,0,0,22,0,0,4,0,0,0,0,1,0
540919, Šumperk, Obec: Rovensko,447,"69,63",444,23,0,0,16,0,50,44,2,2,5,0,0,30,0,10,125,0,0,65,0,0,0,1,68,3
540978, Šumperk, Obec: Ruda nad Moravou,900,521,521,42,2,0,38,0,35,58,3,4,4,0,0,36,1,22,164,0,0,48,0,1,5,0,54,2
540978, Šumperk, Obec: Ruda nad Moravou,570,353,352,31,0,0,19,0,22,30,4,7,6,1,0,28,1,9,114,0,0,37,0,4,1,2,35,1
540978, Šumperk, Obec: Ruda nad Moravou,333,211,211,8,0,0,9,0,16,29,3,2,1,0,0,9,0,2,75,0,0,21,0,0,2,1,26,4
540978, Šumperk, Obec: Ruda nad Moravou,175,93,93,7,0,1,3,0,7,9,0,0,0,0,0,5,0,6,34,0,0,14,1,1,0,0,5,0
540978, Šumperk, Obec: Ruda nad Moravou,56,38,38,3,0,0,5,0,0,8,2,0,0,0,0,1,0,0,6,0,0,4,0,0,1,0,7,0
540986, Šumperk, Obec: Sobotín,879,467,467,33,0,0,24,1,27,42,3,4,6,4,1,45,1,7,167,1,0,18,0,0,0,4,76,2
540986, Šumperk, Obec: Sobotín,93,60,60,7,0,0,8,0,1,3,0,0,0,0,0,4,0,1,20,0,0,4,0,0,0,0,12,0
541079, Šumperk, Obec: Staré Město,1 266,609,602,41,5,0,47,1,25,66,1,4,3,0,2,45,0,12,227,0,0,47,1,1,0,1,68,2
541079, Šumperk, Obec: Staré Město,76,49,48,5,0,0,3,0,2,1,0,0,1,0,0,4,0,0,12,0,0,7,0,1,0,0,12,0
541079, Šumperk, Obec: Staré Město,52,31,31,2,0,0,2,0,5,9,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,1,0
541079, Šumperk, Obec: Staré Město,38,20,20,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,7,0,0,3,0,0,0,0,4,0
541079, Šumperk, Obec: Staré Město,45,28,28,5,0,0,4,0,3,1,0,0,0,0,0,2,0,2,4,0,0,4,0,0,2,0,1,0
570281, Šumperk, Obec: Stavenice,73,"59,84",73,3,0,0,5,0,0,11,2,1,0,0,0,4,0,1,25,0,2,1,0,0,0,0,18,0
541109, Šumperk, Obec: Sudkov,511,"55,66",507,37,1,0,15,1,70,50,5,2,6,0,0,23,0,3,190,2,0,25,0,2,2,0,71,2
541125, Šumperk, Obec: Svébohov,262,"75,94",262,10,0,1,13,4,32,16,3,4,5,0,0,8,0,4,81,0,0,49,0,1,1,0,30,0
570117, Šumperk, Obec: Šléglov,22,"61,11",21,5,0,0,0,0,1,0,2,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,6,0
541168, Šumperk, Obec: Štíty,1 302,741,739,157,1,1,53,0,25,73,3,3,7,2,0,53,0,6,196,0,0,79,0,3,0,1,72,1
541168, Šumperk, Obec: Štíty,86,63,63,9,1,0,1,1,1,6,0,0,1,0,0,6,0,0,17,0,0,7,0,1,0,0,11,1
541168, Šumperk, Obec: Štíty,194,100,100,22,0,0,5,0,4,13,2,1,1,1,0,5,0,0,24,0,1,2,0,0,0,0,17,1
541168, Šumperk, Obec: Štíty,69,34,34,6,0,0,3,0,3,5,1,0,1,0,0,2,0,0,8,0,0,3,0,0,0,0,1,1
523704, Šumperk, Obec: Šumperk,1 597,465,465,58,1,0,16,0,31,23,4,5,11,2,0,42,0,27,144,0,0,23,0,3,0,2,71,0
523704, Šumperk, Obec: Šumperk,763,446,446,43,0,0,27,0,20,31,3,9,10,0,0,35,0,14,160,1,0,8,0,3,1,0,76,4
523704, Šumperk, Obec: Šumperk,608,377,377,18,0,1,38,0,30,40,4,3,6,0,0,27,0,20,119,0,1,18,1,2,1,0,46,0
523704, Šumperk, Obec: Šumperk,586,373,373,23,0,0,29,0,27,35,1,0,6,0,0,20,0,8,145,2,0,13,0,2,0,0,60,0
523704, Šumperk, Obec: Šumperk,631,378,377,25,0,0,37,0,30,50,3,2,2,0,1,19,2,2,134,0,0,12,0,1,0,0,54,0
523704, Šumperk, Obec: Šumperk,785,442,442,35,0,1,41,2,36,40,4,0,2,0,0,34,0,12,153,0,2,27,0,1,0,0,48,1
523704, Šumperk, Obec: Šumperk,631,361,360,20,2,0,28,0,18,43,1,5,5,2,0,22,0,12,122,0,0,19,0,3,1,0,56,0
523704, Šumperk, Obec: Šumperk,713,418,417,44,1,0,34,0,19,36,2,0,6,5,0,31,0,13,127,0,0,31,0,0,1,0,63,3
523704, Šumperk, Obec: Šumperk,698,402,402,32,3,0,28,1,38,29,4,4,5,2,0,35,1,11,132,0,0,12,0,5,0,0,56,4
523704, Šumperk, Obec: Šumperk,717,414,414,42,0,0,43,1,25,32,3,0,10,0,0,31,0,20,123,0,0,19,1,4,0,0,60,0
523704, Šumperk, Obec: Šumperk,711,448,448,38,0,0,34,0,28,40,7,2,6,1,1,36,0,19,154,0,1,31,0,0,2,2,43,1
523704, Šumperk, Obec: Šumperk,625,399,399,58,0,0,14,2,26,21,6,1,10,0,1,47,0,21,113,1,0,35,0,5,0,0,38,0
523704, Šumperk, Obec: Šumperk,652,406,406,39,5,1,33,1,29,38,1,1,9,3,0,37,1,17,129,0,0,18,0,3,0,0,39,1
523704, Šumperk, Obec: Šumperk,828,597,597,73,1,1,56,0,39,38,6,5,10,0,0,55,1,34,187,0,0,30,0,11,0,0,48,1
523704, Šumperk, Obec: Šumperk,557,365,363,39,1,0,24,0,26,30,2,0,2,2,1,38,0,23,121,1,0,11,0,1,0,0,38,0
523704, Šumperk, Obec: Šumperk,709,421,421,26,0,0,30,0,30,40,3,2,6,2,1,43,0,7,146,0,0,15,1,0,0,0,63,3
523704, Šumperk, Obec: Šumperk,785,428,428,39,1,0,27,0,39,35,2,1,5,2,0,33,1,6,149,0,0,16,0,2,1,0,65,1
523704, Šumperk, Obec: Šumperk,698,391,390,17,0,0,28,0,22,43,0,2,2,0,0,28,0,9,137,1,1,28,0,1,2,2,64,0
523704, Šumperk, Obec: Šumperk,691,495,495,94,0,0,29,1,28,36,1,5,5,0,1,29,0,19,163,0,0,23,1,5,1,0,51,2
523704, Šumperk, Obec: Šumperk,811,504,504,31,1,1,22,0,36,38,10,5,12,0,0,64,0,29,135,0,3,21,0,7,1,3,81,0
523704, Šumperk, Obec: Šumperk,753,448,445,56,0,1,36,0,28,30,2,6,13,1,2,41,0,20,104,0,0,32,0,2,0,0,64,4
523704, Šumperk, Obec: Šumperk,828,488,488,58,1,2,25,1,40,43,3,4,2,1,1,42,0,19,159,0,2,25,2,1,0,0,57,0
523704, Šumperk, Obec: Šumperk,541,365,365,41,0,0,26,0,21,19,4,1,6,0,0,42,1,26,107,0,1,18,0,4,1,1,41,0
523704, Šumperk, Obec: Šumperk,761,460,459,30,0,0,38,0,19,37,5,3,13,0,1,30,0,13,147,0,0,29,3,0,1,0,88,1
523704, Šumperk, Obec: Šumperk,770,533,533,74,1,1,45,0,19,25,12,0,15,1,0,47,1,23,162,1,0,41,1,1,0,1,59,1
523704, Šumperk, Obec: Šumperk,597,321,321,22,1,3,29,0,17,20,1,4,4,1,0,38,0,8,101,1,0,14,0,1,0,2,53,1
523704, Šumperk, Obec: Šumperk,763,433,432,30,1,0,33,0,34,48,9,2,7,1,0,43,0,11,120,0,2,9,1,0,1,1,78,0
523704, Šumperk, Obec: Šumperk,903,476,475,32,2,0,30,0,21,44,7,3,8,3,0,50,1,11,144,1,2,27,0,4,4,0,74,4
523704, Šumperk, Obec: Šumperk,858,522,520,59,0,0,39,1,36,39,3,2,14,2,2,45,0,13,156,0,0,19,1,1,1,0,86,1
523704, Šumperk, Obec: Šumperk,127,51,51,1,0,0,13,0,0,11,1,1,1,0,0,0,0,1,14,0,0,8,0,0,0,0,0,0
523704, Šumperk, Obec: Šumperk,709,421,421,26,0,0,30,0,30,40,3,2,6,2,1,43,0,7,146,0,0,15,1,0,0,0,63,3
523704, Šumperk, Obec: Šumperk,785,428,428,39,1,0,27,0,39,35,2,1,5,2,0,33,1,6,149,0,0,16,0,2,1,0,65,1
523704, Šumperk, Obec: Šumperk,698,391,390,17,0,0,28,0,22,43,0,2,2,0,0,28,0,9,137,1,1,28,0,1,2,2,64,0
523704, Šumperk, Obec: Šumperk,691,495,495,94,0,0,29,1,28,36,1,5,5,0,1,29,0,19,163,0,0,23,1,5,1,0,51,2
523704, Šumperk, Obec: Šumperk,811,504,504,31,1,1,22,0,36,38,10,5,12,0,0,64,0,29,135,0,3,21,0,7,1,3,81,0
523704, Šumperk, Obec: Šumperk,753,448,445,56,0,1,36,0,28,30,2,6,13,1,2,41,0,20,104,0,0,32,0,2,0,0,64,4
523704, Šumperk, Obec: Šumperk,828,488,488,58,1,2,25,1,40,43,3,4,2,1,1,42,0,19,159,0,2,25,2,1,0,0,57,0
523704, Šumperk, Obec: Šumperk,541,365,365,41,0,0,26,0,21,19,4,1,6,0,0,42,1,26,107,0,1,18,0,4,1,1,41,0
523704, Šumperk, Obec: Šumperk,761,460,459,30,0,0,38,0,19,37,5,3,13,0,1,30,0,13,147,0,0,29,3,0,1,0,88,1
523704, Šumperk, Obec: Šumperk,770,533,533,74,1,1,45,0,19,25,12,0,15,1,0,47,1,23,162,1,0,41,1,1,0,1,59,1
523704, Šumperk, Obec: Šumperk,597,321,321,22,1,3,29,0,17,20,1,4,4,1,0,38,0,8,101,1,0,14,0,1,0,2,53,1
523704, Šumperk, Obec: Šumperk,763,433,432,30,1,0,33,0,34,48,9,2,7,1,0,43,0,11,120,0,2,9,1,0,1,1,78,0
523704, Šumperk, Obec: Šumperk,903,476,475,32,2,0,30,0,21,44,7,3,8,3,0,50,1,11,144,1,2,27,0,4,4,0,74,4
523704, Šumperk, Obec: Šumperk,858,522,520,59,0,0,39,1,36,39,3,2,14,2,2,45,0,13,156,0,0,19,1,1,1,0,86,1
523704, Šumperk, Obec: Šumperk,127,51,51,1,0,0,13,0,0,11,1,1,1,0,0,0,0,1,14,0,0,8,0,0,0,0,0,0
553336, Šumperk, Obec: Třeština,196,"62,42",195,19,1,0,13,1,15,13,3,1,0,0,0,10,0,0,81,0,0,16,0,0,0,1,21,0
541222, Šumperk, Obec: Úsov,549,"56,31",546,37,1,0,25,1,18,58,5,6,8,0,0,49,2,17,214,0,4,34,0,2,1,5,58,1
541265, Šumperk, Obec: Velké Losiny,988,610,608,62,2,0,45,0,30,54,4,3,8,1,2,48,2,15,217,2,0,30,0,1,0,0,72,3
541265, Šumperk, Obec: Velké Losiny,1 050,630,630,57,3,0,47,0,25,46,3,12,3,1,0,55,0,20,214,0,0,46,0,2,0,0,88,7
541265, Šumperk, Obec: Velké Losiny,122,54,54,0,0,0,4,1,0,2,0,0,0,1,0,5,0,5,23,0,0,1,0,0,0,0,10,1
541265, Šumperk, Obec: Velké Losiny,62,39,39,8,0,0,1,0,2,0,0,1,0,0,0,10,0,0,13,0,0,1,0,0,0,0,3,0
